ExperimentNumber,ColonyID,Size,MinorAxisLength,Eccentricity,MeanIntensity,Radius,Type
1,1,31,5.81594186275442,0.548210875645195,0.691806542098358,3.14127465715711,3
1,2,10,2.92118697336089,0.764470787156438,0.760729312762973,1.78412411615277,3
1,1,109,10.519534169205,0.611952358035203,0.702651929436288,5.89031218137317,3
1,2,15,3.46410161513775,0.8,0.595979429640019,2.18509686118416,3
1,3,66,9.252148677541,0.176296560627809,0.692549619618343,4.58349784423754,3
1,4,112,10.3685635107931,0.665406748320942,0.637910739330795,5.97082132144185,3
1,5,102,7.38178775315638,0.911130601497134,0.665676649341364,5.69803548521301,3
1,6,42,6.66061376974914,0.588895675395036,0.714586255259467,3.65636639571573,3
1,7,60,7.19508823813614,0.746146408111573,0.694974287050024,4.37019372236832,3
1,8,16,4.61880215351701,0,0.630434782608696,2.25675833419103,3
1,9,22,4.86625531300505,0.599552739408586,0.620680861915084,2.64628371420061,3
1,10,20,4.61880215351701,0.6,0.662482468443198,2.52313252202016,3
1,11,20,4.61880215351701,0.6,0.681206171107995,2.52313252202016,3
1,12,37,6.23390986020871,0.591772454035422,0.602175808346916,3.43183125878885,3
1,13,122,9.19882540358609,0.856376498555658,0.700836916285379,6.2316776324215,3
1,14,63,8.01627732379249,0.61632539178807,0.669137781339745,4.47811599108138,3
1,15,40,6.21342609678752,0.671322246285682,0.69077840112202,3.56824823230554,3
1,16,105,10.6257693373232,0.54757724933669,0.743925732986042,5.78122288528111,3
1,17,92,10.7553385727357,0.242997452543371,0.711491554363071,5.41151637980601,3
1,18,46,6.75878387139949,0.655477212462917,0.700103664857614,3.82651992866291,3
1,19,32,6.18330214223552,0.430235049282638,0.709852734922861,3.19153824321146,3
1,20,58,8.06207997269081,0.504365875464801,0.674275765343135,4.29673985699156,3
1,21,15,4.18887415264134,0.475270820628804,0.660776063581113,2.18509686118416,3
1,22,16,4.61880215351701,0,0.786816269284713,2.25675833419103,3
1,23,28,5.37685955496622,0.613148375042676,0.580294530154278,2.98541066072092,3
1,24,43,6.64209243817502,0.630471217135594,0.643628298378943,3.69963851016596,3
1,25,107,9.9557614873907,0.693687976452583,0.722798233081228,5.8360224315595,3
1,26,103,8.55601379043038,0.837446579091138,0.685929819305819,5.72589890558072,3
1,27,19,4.44818285707316,0.619000533211531,0.717132944563372,2.45924537968297,3
1,28,111,10.1270379118279,0.70199723800338,0.730298320761154,5.94410610322534,3
1,29,20,4.61880215351701,0.6,0.660168302945302,2.52313252202016,3
1,30,19,4.44818285707316,0.619000533211531,0.714844615043921,2.45924537968297,3
1,31,75,9.59937034972143,0.320086568377074,0.632127162225339,4.8860251190292,3
1,32,82,9.66404077415965,0.479025526106124,0.747374542469127,5.10895396995029,3
1,33,112,11.4350120681261,0.448368610839611,0.616108996193148,5.97082132144185,3
